PK,NOMBRE,HORARIO,direccion,DISTRITO,distriurl,LATITUD,LONGITUD,CONTENT-URL
19547,Mercadillo en la via publica de la calle Gandhi (Distrito Ciudad Lineal),Viernes de 9 a 14 horas,calle gandhi 16,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.424255982276584,-3.6339196583262754,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=200092355c51c010VgnVCM2000000c205a0aRCRD
19736,Mercadillo en la via publica de la calle Gorrion (Distrito Carabanchel),"Lunes de 9 a 14 horas, excepto festivos.",calle vicente quesada 4,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.396922359390835,-3.730158356659085,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=852092355c51c010VgnVCM2000000c205a0aRCRD
19531,Mercadillo en la via publica de la calle San Roman del Valle (Distrito San Blas - Canillejas),Martes de 9 a 14 horas,calle san roman del valle 8,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.42027705095574,-3.621741078700336,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5d7f92355c51c010VgnVCM2000000c205a0aRCRD
19537,Mercadillo en la via publica de la calle Santa Genoveva (Distrito Ciudad Lineal),"Jueves y sabados de 9 a 14 horas, excepto durante las fiestas del distrito celebradas durante dos semanas de septiembre.",avenida trece rosas 9,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.42627295716398,-3.6471182978336296,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bdc092355c51c010VgnVCM2000000c205a0aRCRD
19486,Mercadillo en la via publica de la calle Sierra Gorda (Distrito Villa de Vallecas),Martes de 9 a 14 horas,calle sierra gorda 31,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,40.38109513840808,-3.6169511425751266,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=60e092355c51c010VgnVCM2000000c205a0aRCRD
19550,Mercadillo en la via publica de la calle Villablanca (Distrito Vicalvaro),"Jueves de 9 a 14 horas, excepto jueves santo y fiestas del Distrito (celebradas en junio)",calle villablanca 87,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,40.40509588019403,-3.597996097245818,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f28092355c51c010VgnVCM2000000c205a0aRCRD
19530,Mercadillo en la via publica de la colonia Ciudad de los angeles (Distrito Villaverde),Jueves de 9 a 14 horas,paseo gigantes y cabezudos 54,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.35451487853377,-3.6938424734230515,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=383092355c51c010VgnVCM2000000c205a0aRCRD
181296,Mercadillo en la via publica de la colonia Marconi (Distrito Villaverde),Domingos de 9 a 14 horas,calle san eustaquio 29,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.33271410365036,-3.701082788141882,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96645c2cdc41c010VgnVCM2000000c205a0aRCRD
19631,Mercadillo en la via publica de ronda del Sur (Distrito Puente de Vallecas),Domingos de 9 a 14 horas,ronda sur 231,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.37362311563833,-3.6631527179191012,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=407092355c51c010VgnVCM2000000c205a0aRCRD
21199,Mercadillo en la via publica. El Rastro,Todos los domingos y festivos de 9 a 15 horas,calle ribera de curtidores 19,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.408614766057475,-3.7071850660071277,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=781192355c51c010VgnVCM2000000c205a0aRCRD
