PK,NOMBRE,sameAs,direccion,DISTRITO,dsitriurl,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
27326,Oficina de Turismo de Noruega,,plaza colon 2,Chamberí,http://dbpedia.org/resource/Chamberí,40.42567707652306,-3.6909305470033527,913 440 987,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e78444a2951c010VgnVCM2000000c205a0aRCRD
5405170,Oficina de Turismo de Nueva York,,calle bravo murillo 101,Chamberí,http://dbpedia.org/resource/Chamberí,40.43466453809479,-3.700501765839506,914 585 573,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e68a3eee7553210VgnVCM2000000c205a0aRCRD
7826,Oficina de Turismo de Peru,,plaza marques de salamanca 10,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.429674007218026,-3.6792883340980196,911 937 511,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b4ed19d41471c010VgnVCM1000000b205a0aRCRD
7835,Oficina de Turismo de Polonia,,calle princesa 3,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.42474213964734,-3.7128591034859424,915 414 808 / 915 414 333,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=47fd19d41471c010VgnVCM1000000b205a0aRCRD
5405234,Oficina de Turismo de Portugal,,calle lagasca 88,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.42991206232817,-3.6847491581278606,917 617 230,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f3ad9a4aca553210VgnVCM2000000c205a0aRCRD
8132969,Oficina de Turismo de Rumania,,calle alcantara 49,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.43064345216766,-3.6737334953475242,914 014 268,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=021399cf56d6e410VgnVCM1000000b205a0aRCRD
63189,Oficina de Turismo de Seychelles,,calle princesa 40,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.429538155017795,-3.715255790482151,917 020 804,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1e17e7510551c010VgnVCM2000000c205a0aRCRD
5359801,Oficina de Turismo de Tahiti,,calle serrano 40,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.426021621426464,-3.687538961488509,915 489 747,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=90192b0194de1210VgnVCM2000000c205a0aRCRD
7841,Oficina de Turismo de Tunez,,calle alberto aguilera 11,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42967754133076,-3.7087142557455817,915 481 435,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=145e19d41471c010VgnVCM1000000b205a0aRCRD
6192812,"Oficina de Turismo de la Comunidad de Madrid. Calle Alcala, 31",,calle alcala 31,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41842560545147,-3.6982941133384717,"Informacion turistica y cultural: 902 100 007            
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9a0b992ad93d2310VgnVCM2000000c205a0aRCRD
7808,Oficina de Turismo de la Comunidad de Madrid. Calle Duque de Medinaceli,,calle duque de medinaceli 2,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.415295360876854,-3.6959869173057225,"Informacion turistica y cultural:  902 100 007    
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c26d19d41471c010VgnVCM1000000b205a0aRCRD
6368119,IFEMA,http://es.dbpedia.org/resource/IFEMA,avenida partenon 5,Barajas (Madrid),http://dbpedia.org/resource/Barajas_(Madrid),40.46428771594393,-3.6164023947650836,Informacion turistica y cultural: 902 100 007,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1286c040b8f36310VgnVCM2000000c205a0aRCRD
10085398,Punto de Informacion Turistica. Paseo del Prado,,plaza neptuno 1,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.41688576337496,-3.692184322678944,915 787 810,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f6bdae9bb525510VgnVCM2000001f4a900aRCRD
