nombre,sameAs,direccion,distrito,distri_url,latitud,longitud,telefono,infoUrl
Iglesia Evangelica Nueva Vida,,calle argos 13,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.436.772.923.362.900,-3.634.945.071.142.650,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4996e44317350410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Pentecostal Amistad Cristiana,,calle vallehermoso 70,Chamberí,http://dbpedia.org/resource/Chamberí,40.437.256.742.788.900,-3.708.286.842.692.640,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=64f10ac0dfc50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Pentecostal Bethel,,calle fernando diaz de mendoza 3,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.039.425.444.284.570,-37.130.323.684.423.100,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a2cf6f065851c010VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Pentecostal Salem,,calle cidro 8,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.036.788.312.377.920,-37.461.462.154.794.500,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6fb1e44317350410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Pueblo Nuevo,,calle villacarlos 14,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,40.405.980.938.654.000,-36.062.299.408.865.400,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d6adfe5dfad50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelio Cuadrangular Vida Nueva Usera,,calle monederos 22,Usera,http://dbpedia.org/resource/Usera,40.387.603.572.276.100,-37.016.044.995.191.400,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=db313ddd32d50410VgnVCM2000000c205a0aRCRD
Iglesia Filadelfia del Centro Cielos Abiertos,,calle rodrigo de guevara 2,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.409.306.745.878.800,-3.708.936.586.322.550,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ac0a5ac33d160410VgnVCM2000000c205a0aRCRD
Iglesia Internacional Alianza de Amor,,calle antonio gonzalez porras 25,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.039.066.598.347.710,-37.178.606.509.833.800,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3f915ac33d160410VgnVCM2000000c205a0aRCRD
Iglesia Resurreccion IEE,,calle butron 20,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,4.042.486.074.067.440,-3.608.556.691.010.070,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=306150adce160410VgnVCM2000000c205a0aRCRD
Iglesia Servidores de Vida,,calle castrojeriz 8,Carabanchel,http://dbpedia.org/resource/Carabanchel,403.872.624.683.693,-37.390.081.955.917.400,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=95f550adce160410VgnVCM2000000c205a0aRCRD
Iglesia Tabernaculo de Alabanza,,calle barca 4,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,40.399.476.185.079.000,-35.941.165.757.961.300,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c944f181df160410VgnVCM2000000c205a0aRCRD
Iglesia Templo de Dios,,calle marquesa de arg&uuml;eso 22,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.391.475.542.527.600,-37.238.429.956.192.000,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c70bf181df160410VgnVCM2000000c205a0aRCRD
Mezquita Abu Bakr de Madrid,http://es.dbpedia.org/page/Mezquita_Central_de_Madrid,calle anastasio herrero 5,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),4.045.678.681.584.000,-37.011.324.720.320.500,915 714 040 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=11a71e79ee71c010VgnVCM1000000b205a0aRCRD
Testigos Cristianos de Jehova. Avenida Moratalaz,,avenida moratalaz 143,Moratalaz,http://dbpedia.org/resource/Moratalaz,4.040.710.531.270.070,-364.807.785.428.665,914 377 284,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=daca6dd8f677f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Arroyo,,calle arroyo 23,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),4.046.978.728.598.970,-37.025.298.582.429.600,913 140 296,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a823784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Artistas,,calle artistas 22,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),4.044.728.893.529.120,-37.015.290.370.510.400,915 337 233,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0e33784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Carrascales,,calle carrascales 12,Usera,http://dbpedia.org/resource/Usera,4.038.152.721.787.890,-37.082.093.955.604.000,914 768 456,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13c13b49d7619210VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Chantada,,calle chantada 43,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,4.047.295.576.678.730,-37.161.763.610.140.800,913 737 210,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f493784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Doctor Gomez Ulla,,calle doctor gomez ulla 16,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),404.299.768.268.144,-3.667.513.892.714.280,917 253 649,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=11c3784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Guamo,,calle guamo 2,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.472.423.257.425.900,-36.329.921.848.042.200,917 644 305,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dbe3784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Hilario Sangrador,,calle hilario sangrador 8,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),40.407.960.942.737.900,-37.424.991.074.388.700,914 794 301,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1673784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Ignacio Ellacuria,,calle ignacio ellacuria 3,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,4.042.908.450.325.940,-36.565.765.500.624.200,913 613 801,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3104784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Jacobinia,,calle jacobinia 70,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.377.563.130.203.500,-37.538.276.002.522.400,914 622 474,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9614784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Las Pedroñeras,,calle las pedro&ntilde;eras 46,Hortaleza,http://dbpedia.org/resource/Hortaleza,4.046.740.772.482.650,-3.630.892.617.916.540,917 597 002,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2ae45159bd619210VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Luis Ruiz,,calle luis ruiz 75,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,404.280.279.977.347,-36.360.652.956.995.000,913 759 717,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c9a65068d6619210VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Marcudos,,calle marcudos 4,Usera,http://dbpedia.org/resource/Usera,4.038.853.080.646.350,-3.701.720.159.931.240,917 921 135,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1c64784e0cc4f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Martin de Vargas,,calle martin de vargas 26,Arganzuela,http://dbpedia.org/resource/Arganzuela,4.040.244.073.010.040,-3.701.734.952.593.740,915 176 543,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d0ea6dd8f677f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Perez Herrera,,calle perez herrera 2,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),4.044.692.921.715.810,-36.726.225.307.291.100,914 169 439,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c6fa6dd8f677f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Puerto de Pozazal,,calle puerto de pozazal 1,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,4.037.941.728.069.030,-36.290.579.482.359.900,911 386 417,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=458e813cbcc4f010VgnVCM1000000b205a0aRCRD
Testigos Cristianos de Jehova. Calle San Moises,,calle san moises 39,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.382.077.738.308.300,-3.665.580.023.171.380,915 157 133,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e73b6dd8f677f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Santa Ana Baja,,calle santa ana baja 48,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,404.971.824.538.909,-36.907.430.902.200.600,917 348 698,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ed4b6dd8f677f010VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Tembleque,,calle tembleque 64,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),403.951.784.294.787,-3.760.316.231.056.660,915 188 149,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0d24972577619210VgnVCM2000000c205a0aRCRD
Testigos Cristianos de Jehova. Calle Venancio Martin,,calle venancio martin 19,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,4.039.795.732.762.330,-36.614.706.779.617.700,914 399 065,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2903784e0cc4f010VgnVCM2000000c205a0aRCRD
