nombre,sameAs,direccion,distrito,distri_url,latitud,longitud,telefono,infoUrl
Iglesia Celebracion Cristiana (Comunidad Sendero de la Cruz),,calle miguel fleta 11,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,4.043.189.156.564.130,-3.631.374.057.578.600,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f5e7efba3c850410VgnVCM1000000b205a0aRCRD
Iglesia CENFOL España,,calle alejandro villegas 34,Hortaleza,http://dbpedia.org/resource/Hortaleza,4.046.517.332.828.150,-36.488.243.746.464.300,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=beddb8d07d850410VgnVCM1000000b205a0aRCRD
Iglesia Centro Cristiano Adonay,,calle maria martinez oviol 17,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),4.035.010.688.886.280,-3.691.253.820.762.230,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e65fb8d07d850410VgnVCM1000000b205a0aRCRD
Iglesia Comunidad Cristiana de Fe,,calle manuel ferrero 5,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),40.468.282.503.897.200,-36.845.607.169.672.000,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c77b8d07d850410VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Alenza,,calle alenza 6,Chamberí,http://dbpedia.org/resource/Chamberí,4.044.356.545.097.690,-37.004.998.266.858.400,652 669 072,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=435f6f065851c010VgnVCM2000000c205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Aluche,,calle los yebenes 255,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),4.038.946.974.102.780,-37.515.803.449.309.400,631 800 027,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=08470bf21677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Beneficencia,,calle beneficencia 18,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),4.042.635.120.982.080,-3.698.682.579.292.040,653 778 836,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ed570bf21677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Calatrava,,calle secoya 19,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.036.926.045.846.840,-3.744.912.867.450.050,615 364 456,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3a870bf21677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Eben-Ezer,,calle rusia 11,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,4.042.423.100.660.820,-3.610.095.282.640.810,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=925691f81c421510VgnVCM2000000c205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Efes,,calle alejandro sanchez 49,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.390.153.190.373.000,-37.220.850.553.963.800,630 107 994,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5cb70bf21677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Emaus,,calle rusia 11,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,4.042.423.100.660.820,-3.610.095.282.640.810,653 778 836,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d6d9493662e92110VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Grupo brasileño,,travesia juan francisco 4,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.038.685.454.268.190,-37.323.234.966.679.700,645 402 526,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f1d689f2b4eed310VgnVCM2000000c205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Noviciado de Horeb,,calle marquesa de arg&uuml;eso 24,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.039.143.027.890.690,-3.723.877.858.559.500,639 968 584,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=384fcef44b421510VgnVCM2000000c205a0aRCRD
