PK,NOMBRE,sameAs,direccion,DISTRITO,distrito_url,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
3553,Parroquia San Jenaro,,calle vital aza 81,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.433901372590746,-3.6377948138217833,913 672 238,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3df2ef4d7f71c010VgnVCM1000000b205a0aRCRD
3554,Parroquia San Jeronimo el Real (Los Jeronimos),,calle moreto 4,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.41435509318014,-3.690531846398855,914 203 078 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cf03ef4d7f71c010VgnVCM1000000b205a0aRCRD
3559,Parroquia San Joaquin,,calle amposta 24,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.425594096303556,-3.6214245911710283,913 130 145,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5223ef4d7f71c010VgnVCM1000000b205a0aRCRD
3560,Parroquia San Jorge,,calle padre damian 22,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),40.455891271634634,-3.686734728579395,914 582 531,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e433ef4d7f71c010VgnVCM1000000b205a0aRCRD
3370,Parroquia San Jose,,calle alcala 43,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41904792380414,-3.6966856794698795,915 226 784,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e41a0713fb71c010VgnVCM1000000b205a0aRCRD
3561,Parroquia San Jose de Calasanz,,calle imagen 12,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.384493380359146,-3.666935091842646,914 778 315,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7743ef4d7f71c010VgnVCM1000000b205a0aRCRD
4914933,Parroquia San Jose Maria Escriva de Balaguer,,calle ganimedes 19,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.46603358226542,-3.7860032500253666,913 575 565,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a0b7a1bd396e9110VgnVCM2000000c205a0aRCRD
3562,Parroquia San Jose Obrero,,calle julio antonio 3,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.382840349062946,-3.7302890287830914,914 657 274,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a53ef4d7f71c010VgnVCM1000000b205a0aRCRD
3564,Parroquia San Juan Bautista,,calle faustina pe&ntilde;alver 1,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.45278137219362,-3.659189384942855,914 135 171,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c63ef4d7f71c010VgnVCM1000000b205a0aRCRD
107401,Parroquia San Juan Bautista de la Concepcion,,calle camarena 57,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),40.395022148365726,-3.7552948542232087,917 195 134,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66235f463b81c010VgnVCM1000000b205a0aRCRD
